Solving for objective max_perf with perfLB=10.0 Gflop/s, areaUB=1000.0 mm2, powerUB=10000000000.0 W

######################################################
List of objective values:
1. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '0.25 App. AI, 100.0 MB Workset']: 7.6593e+09
82. ['Intel Core i9-13900K', 'HBM2', '41x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
83. ['Intel Core i9-13900K', 'DDR4-3200', '42x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.0715e+11
84. ['Intel Core i9-13900K', 'HBM2', '42x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
85. ['Intel Core i9-13900K', 'DDR4-3200', '43x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.1568e+11
86. ['Intel Core i9-13900K', 'HBM2', '43x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
87. ['Intel Core i9-13900K', 'DDR4-3200', '44x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.2569e+11
88. ['Intel Core i9-13900K', 'HBM2', '44x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
89. ['Intel Core i9-13900K', 'DDR4-3200', '45x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.3760e+11
90. ['Intel Core i9-13900K', 'HBM2', '45x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
91. ['Intel Core i9-13900K', 'DDR4-3200', '46x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.5200e+11
92. ['Intel Core i9-13900K', 'HBM2', '46x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
93. ['Intel Core i9-13900K', 'DDR4-3200', '47x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.6976e+11
94. ['Intel Core i9-13900K', 'HBM2', '47x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
95. ['Intel Core i9-13900K', 'DDR4-3200', '48x L3s', '0.25 App. AI, 100.0 MB Workset']: 1.9223e+11
96. ['Intel Core i9-13900K', 'HBM2', '48x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
97. ['Intel Core i9-13900K', 'DDR4-3200', '49x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2156e+11
98. ['Intel Core i9-13900K', 'HBM2', '49x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
99. ['Intel Core i9-13900K', 'DDR4-3200', '50x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
100. ['Intel Core i9-13900K', 'HBM2', '50x L3s', '0.25 App. AI, 100.0 MB Workset']: 2.2860e+11
101. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '0.25 App. AI, 50.0 MB Workset']: 7.8255e+09
102. ['Intel Core i9-13900K', 'HBM2', '1x L3s', '0.25 App. AI, 50.0 MB Workset']: 7.8255e+09
103. ['Intel Core i9-13900K', 'DDR4-3200', '2x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.5651e+10
104. ['Intel Core i9-13900K', 'HBM2', '2x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.5651e+10
105. ['Intel Core i9-13900K', 'DDR4-3200', '3x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.3477e+10
106. ['Intel Core i9-13900K', 'HBM2', '3x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.3477e+10
107. ['Intel Core i9-13900K', 'DDR4-3200', '4x L3s', '0.25 App. AI, 50.0 MB Workset']: 3.1205e+10
108. ['Intel Core i9-13900K', 'HBM2', '4x L3s', '0.25 App. AI, 50.0 MB Workset']: 3.1302e+10
109. ['Intel Core i9-13900K', 'DDR4-3200', '5x L3s', '0.25 App. AI, 50.0 MB Workset']: 3.2575e+10
110. ['Intel Core i9-13900K', 'HBM2', '5x L3s', '0.25 App. AI, 50.0 MB Workset']: 3.9128e+10
111. ['Intel Core i9-13900K', 'DDR4-3200', '6x L3s', '0.25 App. AI, 50.0 MB Workset']: 3.4070e+10
112. ['Intel Core i9-13900K', 'HBM2', '6x L3s', '0.25 App. AI, 50.0 MB Workset']: 4.6953e+10
113. ['Intel Core i9-13900K', 'DDR4-3200', '7x L3s', '0.25 App. AI, 50.0 MB Workset']: 3.5710e+10
114. ['Intel Core i9-13900K', 'HBM2', '7x L3s', '0.25 App. AI, 50.0 MB Workset']: 5.4779e+10
115. ['Intel Core i9-13900K', 'DDR4-3200', '8x L3s', '0.25 App. AI, 50.0 MB Workset']: 3.7516e+10
116. ['Intel Core i9-13900K', 'HBM2', '8x L3s', '0.25 App. AI, 50.0 MB Workset']: 6.2604e+10
117. ['Intel Core i9-13900K', 'DDR4-3200', '9x L3s', '0.25 App. AI, 50.0 MB Workset']: 3.9514e+10
118. ['Intel Core i9-13900K', 'HBM2', '9x L3s', '0.25 App. AI, 50.0 MB Workset']: 7.0430e+10
119. ['Intel Core i9-13900K', 'DDR4-3200', '10x L3s', '0.25 App. AI, 50.0 MB Workset']: 4.1736e+10
120. ['Intel Core i9-13900K', 'HBM2', '10x L3s', '0.25 App. AI, 50.0 MB Workset']: 7.8255e+10
121. ['Intel Core i9-13900K', 'DDR4-3200', '11x L3s', '0.25 App. AI, 50.0 MB Workset']: 4.4224e+10
122. ['Intel Core i9-13900K', 'HBM2', '11x L3s', '0.25 App. AI, 50.0 MB Workset']: 8.6081e+10
123. ['Intel Core i9-13900K', 'DDR4-3200', '12x L3s', '0.25 App. AI, 50.0 MB Workset']: 4.7027e+10
124. ['Intel Core i9-13900K', 'HBM2', '12x L3s', '0.25 App. AI, 50.0 MB Workset']: 9.3907e+10
125. ['Intel Core i9-13900K', 'DDR4-3200', '13x L3s', '0.25 App. AI, 50.0 MB Workset']: 5.0209e+10
126. ['Intel Core i9-13900K', 'HBM2', '13x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.0173e+11
127. ['Intel Core i9-13900K', 'DDR4-3200', '14x L3s', '0.25 App. AI, 50.0 MB Workset']: 5.3853e+10
128. ['Intel Core i9-13900K', 'HBM2', '14x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.0956e+11
129. ['Intel Core i9-13900K', 'DDR4-3200', '15x L3s', '0.25 App. AI, 50.0 MB Workset']: 5.8068e+10
130. ['Intel Core i9-13900K', 'HBM2', '15x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.1738e+11
131. ['Intel Core i9-13900K', 'DDR4-3200', '16x L3s', '0.25 App. AI, 50.0 MB Workset']: 6.2998e+10
132. ['Intel Core i9-13900K', 'HBM2', '16x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.2521e+11
133. ['Intel Core i9-13900K', 'DDR4-3200', '17x L3s', '0.25 App. AI, 50.0 MB Workset']: 6.8843e+10
134. ['Intel Core i9-13900K', 'HBM2', '17x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.3303e+11
135. ['Intel Core i9-13900K', 'DDR4-3200', '18x L3s', '0.25 App. AI, 50.0 MB Workset']: 7.5884e+10
136. ['Intel Core i9-13900K', 'HBM2', '18x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.4086e+11
137. ['Intel Core i9-13900K', 'DDR4-3200', '19x L3s', '0.25 App. AI, 50.0 MB Workset']: 8.4529e+10
138. ['Intel Core i9-13900K', 'HBM2', '19x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.4869e+11
139. ['Intel Core i9-13900K', 'DDR4-3200', '20x L3s', '0.25 App. AI, 50.0 MB Workset']: 9.5397e+10
140. ['Intel Core i9-13900K', 'HBM2', '20x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.5651e+11
141. ['Intel Core i9-13900K', 'DDR4-3200', '21x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.0947e+11
142. ['Intel Core i9-13900K', 'HBM2', '21x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.6434e+11
143. ['Intel Core i9-13900K', 'DDR4-3200', '22x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.2842e+11
144. ['Intel Core i9-13900K', 'HBM2', '22x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.7216e+11
145. ['Intel Core i9-13900K', 'DDR4-3200', '23x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.5530e+11
146. ['Intel Core i9-13900K', 'HBM2', '23x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.7999e+11
147. ['Intel Core i9-13900K', 'DDR4-3200', '24x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.8781e+11
148. ['Intel Core i9-13900K', 'HBM2', '24x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.8781e+11
149. ['Intel Core i9-13900K', 'DDR4-3200', '25x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.9564e+11
150. ['Intel Core i9-13900K', 'HBM2', '25x L3s', '0.25 App. AI, 50.0 MB Workset']: 1.9564e+11
151. ['Intel Core i9-13900K', 'DDR4-3200', '26x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.0346e+11
152. ['Intel Core i9-13900K', 'HBM2', '26x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.0346e+11
153. ['Intel Core i9-13900K', 'DDR4-3200', '27x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.1129e+11
154. ['Intel Core i9-13900K', 'HBM2', '27x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.1129e+11
155. ['Intel Core i9-13900K', 'DDR4-3200', '28x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.1912e+11
156. ['Intel Core i9-13900K', 'HBM2', '28x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.1912e+11
157. ['Intel Core i9-13900K', 'DDR4-3200', '29x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2694e+11
158. ['Intel Core i9-13900K', 'HBM2', '29x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2694e+11
159. ['Intel Core i9-13900K', 'DDR4-3200', '30x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
160. ['Intel Core i9-13900K', 'HBM2', '30x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
161. ['Intel Core i9-13900K', 'DDR4-3200', '31x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
162. ['Intel Core i9-13900K', 'HBM2', '31x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
163. ['Intel Core i9-13900K', 'DDR4-3200', '32x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
164. ['Intel Core i9-13900K', 'HBM2', '32x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
165. ['Intel Core i9-13900K', 'DDR4-3200', '33x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
166. ['Intel Core i9-13900K', 'HBM2', '33x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
167. ['Intel Core i9-13900K', 'DDR4-3200', '34x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
168. ['Intel Core i9-13900K', 'HBM2', '34x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
169. ['Intel Core i9-13900K', 'DDR4-3200', '35x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
170. ['Intel Core i9-13900K', 'HBM2', '35x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
171. ['Intel Core i9-13900K', 'DDR4-3200', '36x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
172. ['Intel Core i9-13900K', 'HBM2', '36x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
173. ['Intel Core i9-13900K', 'DDR4-3200', '37x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
174. ['Intel Core i9-13900K', 'HBM2', '37x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
175. ['Intel Core i9-13900K', 'DDR4-3200', '38x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
176. ['Intel Core i9-13900K', 'HBM2', '38x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
177. ['Intel Core i9-13900K', 'DDR4-3200', '39x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
178. ['Intel Core i9-13900K', 'HBM2', '39x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
179. ['Intel Core i9-13900K', 'DDR4-3200', '40x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
180. ['Intel Core i9-13900K', 'HBM2', '40x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
181. ['Intel Core i9-13900K', 'DDR4-3200', '41x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
182. ['Intel Core i9-13900K', 'HBM2', '41x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
183. ['Intel Core i9-13900K', 'DDR4-3200', '42x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
184. ['Intel Core i9-13900K', 'HBM2', '42x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
185. ['Intel Core i9-13900K', 'DDR4-3200', '43x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
186. ['Intel Core i9-13900K', 'HBM2', '43x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
187. ['Intel Core i9-13900K', 'DDR4-3200', '44x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
188. ['Intel Core i9-13900K', 'HBM2', '44x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
189. ['Intel Core i9-13900K', 'DDR4-3200', '45x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
190. ['Intel Core i9-13900K', 'HBM2', '45x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
191. ['Intel Core i9-13900K', 'DDR4-3200', '46x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
192. ['Intel Core i9-13900K', 'HBM2', '46x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
193. ['Intel Core i9-13900K', 'DDR4-3200', '47x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
194. ['Intel Core i9-13900K', 'HBM2', '47x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
195. ['Intel Core i9-13900K', 'DDR4-3200', '48x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
196. ['Intel Core i9-13900K', 'HBM2', '48x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
197. ['Intel Core i9-13900K', 'DDR4-3200', '49x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
198. ['Intel Core i9-13900K', 'HBM2', '49x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
199. ['Intel Core i9-13900K', 'DDR4-3200', '50x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
200. ['Intel Core i9-13900K', 'HBM2', '50x L3s', '0.25 App. AI, 50.0 MB Workset']: 2.2860e+11
201. ['Intel Core i9-13900K', 'DDR4-3200', '1x L3s', '0.25 App. AI, 25.0 MB Workset']: 8.1806e+09
202. ['Intel Core i9-13900K', 'HBM2', '1x L3s', '0.25 App. AI, 25.0 MB Workset']: 8.1806e+09
203. ['Intel Core i9-13900K', 'DDR4-3200', '2x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.6361e+10
204. ['Intel Core i9-13900K', 'HBM2', '2x L3s', '0.25 App. AI, 25.0 MB Workset']: 1.6361e+10
205. ['Intel Core i9-13900K', 'DDR4-3200', '3x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.4542e+10
206. ['Intel Core i9-13900K', 'HBM2', '3x L3s', '0.25 App. AI, 25.0 MB Workset']: 2.4542e+10
207. ['Intel Core i9-13900K', 'DDR4-3200', '4x L3s', '0.25 App. AI, 25.0 MB Workset']: 3.2723e+10
208. ['Intel Core i9-13900K', 'HBM2', '4x L3s', '0.25 App. AI, 25.0 MB Workset']: 3.2723e+10
209. ['Intel Core i9-13900K', 'DDR4-3200', '5x L3s', '0.25 App. AI, 25.0 MB Workset']: 4.0903e+10
210. ['Intel Core i9-13900K', 'HBM2', '5x L3s', '0.25 App. AI, 25.0 MB Workset']: 4.0903e+10
211. ['Intel Core i9-13900K', 'DDR4-3200', '6x L3s', '0.25 App. AI, 25.0 MB Workset']: 4.9084e+10
212. ['Intel Core i9-13900K', 'HBM2', '6x L3s', '0.25 App. AI, 25.0 MB Workset']: 4.9084e+10
213. ['Intel Core i9-13900K', 'DDR4-3200', '7x L3s', '0.25 App. AI, 25.0 MB Workset']: 5.6297e+10
214. ['Intel Core i9-13900K', 'HBM2', '7x L3s', '0.25 App. AI, 25.0 MB Workset']: 5.7264e+10
215. ['Intel Core i9-13900K', 'DDR4-3200', '8x L3s', '0.25 App. AI, 25.0 MB Workset']: 6.5445e+10
216. ['Intel Core i9-13900K', 'HBM2', '8x L3s', '0.25 App. AI, 25.0 MB Workset']: 6.5445e+10
217. ['Intel Core i9-13900K', 'DDR4-3200', '9x L3s', '0.25 App. AI, 25.0 MB Workset']: 7.3626e+10
218. ['Intel Core i9-13900K', 'HBM2', '9x L3s', '0.25 App. AI, 25.0 MB Workset']: 7.3626e+10
219. ['Intel Core i9-13900K', 'DDR4-3200', '10x L3s', '0.25 App. AI, 25.0 MB Workset']: 8.1806e+10
220. ['Intel Core i9-13900K', 'HBM2', '10x L3s', '0.25 App. AI, 25.0 MB Workset']: 8.1806e+10
